id,a,b,c,t
89,-0.133326449,-9.876721518,-0.502228616,1
90,1.253734835,4.860364118,0.79870289,0
91,-8.778543808,7.541453316,-0.302578751,1
92,0.6939286,-6.830568939,0.0407363,0
93,-5.267777476,7.443447092,0.828271063,1
94,-15.44427962,-9.017757063,0.529370792,1
95,9.001348821,-13.21136667,-1.355229679,1
96,4.610452635,-5.07232164,0.592285528,0
97,4.284182502,8.373625037,1.567798646,1
98,-0.19720049,3.345971493,-0.694933223,0
99,-9.524654502,1.701888541,-0.689763494,0
100,-3.275037957,0.326421595,-0.503662817,0
101,-1.489146835,-5.804163958,0.677976274,0
102,-4.679688611,-3.909729071,0.918913183,0
103,16.31074317,-16.68915281,2.142822208,1
104,-16.72936778,14.4071538,-0.937514247,1
105,2.706038204,16.90784875,0.946339683,1
106,-3.453235672,7.212890782,-0.293464198,0
107,19.8698065,9.819843182,0.532367748,1
108,4.163507359,-7.431706806,-0.508566785,0
109,-4.245269318,-2.211982947,0.459501944,0
110,2.00164765,-13.75682971,1.54918657,1
111,-8.033108535,2.696385077,0.350352484,0
112,-0.864939899,1.993662414,-0.467581894,0
113,-6.373143704,1.044636097,-0.019606356,0
114,7.23125512,2.86366166,-1.405477735,1
115,-2.057866337,-8.393983648,-0.031349661,0
116,0.039208803,5.866375452,-0.184981736,0
117,-1.424519037,-5.130943019,-1.383118507,1
118,-11.78815103,-8.292331184,0.971793186,1
119,-10.20163823,0.17699933,0.202802456,1
120,-3.400525036,8.209821928,-0.066302322,0
121,5.851161196,-7.013333786,-0.433944507,0
122,0.107912941,-1.996382607,0.611124156,0
123,-5.22175401,-5.960004785,-0.019624317,0
124,-2.271195593,-1.189359098,-0.086112264,0
125,-2.579312836,7.17924093,0.201754945,0
126,4.592520073,4.263018628,0.416114192,0
127,5.35114574,0.991094546,0.410710616,0
128,-10.68837428,-17.26505086,-1.609218692,1
129,18.73159115,-2.79306627,1.228478178,1
130,-5.408715807,16.18116739,0.851477668,1
131,1.856162672,8.249327655,-0.00364759,0
132,-3.911749619,-16.48839472,1.860752672,1
133,6.163181642,-3.86408543,0.237231594,0
134,-1.131977101,-0.831436928,-0.733036708,0
135,-8.950629527,-17.31102635,1.818129412,1
136,-13.81566529,10.97319792,0.633901476,1
137,1.735334856,2.005711763,0.985976995,0
138,-6.936319822,8.98173601,-0.312525423,0
139,-5.511113395,10.0682738,-0.158758516,0
140,-18.26909418,1.937045641,-1.066804675,1
141,-15.56263221,18.60176826,-0.161302774,1
142,1.721937243,-5.710689396,0.295841178,0
143,-14.64954236,-19.64763598,0.424572976,1
144,-3.221752193,-1.93237115,-0.844661459,0
145,-3.41302691,-5.049732951,-0.153246851,0
146,5.666056836,7.869280141,-0.288308975,1
147,-15.02895063,0.647236484,-0.846886191,1
148,-5.030631057,-0.478281366,0.382683269,0
149,7.723509944,-20.71999671,-0.378940097,1
150,-3.1103695,1.778475119,0.099630905,0
151,-6.828312519,-0.41709183,0.738806909,0
152,-2.694183368,-2.859758328,0.621885937,0
153,-8.13100812,-1.485522266,-1.148912703,1
154,-19.41030139,12.76292846,0.13355799,1
155,-2.816338362,17.33598498,-1.653673456,1
156,16.57952837,21.31574214,-0.838920003,1
157,1.485059635,4.32852429,0.865706059,0
158,-14.75149298,-2.763436098,1.341041182,1
159,3.755522586,-1.579603418,-0.885140849,0
160,-3.792411711,0.583207161,0.446915281,0
161,2.698364111,7.130150405,0.467118714,0
162,7.419819039,3.14654249,0.305617077,0
163,0.654884779,-2.268523426,-0.832001359,0
164,-5.665057107,8.573135048,0.041996353,1
165,5.5166693,0.129414873,0.140559445,0
166,-1.383800228,-4.416423544,-0.719934017,0
167,-6.29923531,0.899320746,0.492799041,0
168,-1.009447098,-4.083047045,-0.712878444,0
169,6.252959778,-0.364740901,-0.512106351,0
170,-0.828438966,4.44860369,0.695602084,0
171,3.896216467,-3.590986879,-0.017755051,0
172,9.199639548,19.20702386,-0.077072132,1
173,-5.158185797,1.564040587,0.557214922,0
174,8.480103838,-0.021410707,0.046691144,0
175,7.105152046,-6.070416442,0.610428343,1
176,-5.250273054,0.652397114,0.127885645,0
177,-7.040718626,21.44198252,-1.486897031,1
178,-1.767522624,-10.25182791,-0.503126347,0
179,-0.841036175,8.27829151,-0.111908182,0
180,-5.22991573,-7.299506967,-0.738379312,0
181,-1.809376568,-0.112614263,0.638913031,0
182,-0.78296375,5.468455369,0.68422492,0
183,-5.576269454,-5.90121332,2.142671744,1
184,-3.250325944,-6.976613654,0.796211468,1
185,5.654582708,-8.694071923,0.123840136,1
186,15.25702567,-19.28115876,0.593486764,1
187,-16.29533606,16.64388329,-0.326529769,1
188,0.856286476,-2.333925941,-0.167112153,0
189,-3.634049702,-4.956776743,0.087101217,0
190,-2.521996789,1.296248763,-0.372338527,0
191,5.473752905,-4.240061539,0.6316014,0
192,-0.466801499,8.617616788,0.692559796,1
193,1.525914891,1.286171496,0.796865362,0
194,-0.396209369,6.034835119,0.516908196,0
195,-0.290503581,-7.227919187,-0.457956606,0
196,6.268378059,-5.076819658,-0.227051972,0
197,-0.507094275,-3.748249977,-2.164321731,1
198,19.60143043,11.5341076,1.414095253,1
199,20.348759,-8.226807227,-1.006292957,1
200,0.396123798,5.561770101,0.674373347,0
201,2.873965225,6.600219506,-0.908742146,1
202,3.130366918,-20.692687,2.074936881,1
203,-16.17307737,10.01228659,-1.091249556,1
204,-6.453291368,-3.634745857,0.815055073,0
205,-17.99126294,18.24123296,0.856012479,1
206,1.665794106,-4.673935602,0.452428956,0
207,-5.150760457,0.173798169,-0.458761981,0
208,-4.631381969,2.239371153,-0.586462847,0
209,-2.162768024,-9.492366335,0.523334078,1
210,11.79911041,-16.1472934,-0.198199686,1
211,-3.02485281,3.473944067,-0.859021635,0
212,10.21779412,3.506985238,0.221426811,1
213,6.493987782,-2.188381189,-0.031881322,0
214,2.890749287,-7.118286793,0.639345684,0
215,11.01179522,10.14970848,1.039949553,1
216,-5.717751166,-3.332861868,0.67289442,0
217,6.205415363,-0.471504444,0.019119047,0
218,1.137490581,-1.083357069,0.746818759,0
219,5.380750673,-3.950542092,0.336591232,0
220,0.139176339,-3.18155071,0.30416925,0
221,-12.88075318,16.23962643,-1.146973877,1
222,-16.13388684,18.30896715,1.594129452,1
223,7.837270998,-4.944601937,0.760325537,0
224,14.47702685,-0.945940143,0.372186082,1
225,6.708234129,-3.73267705,-2.04377985,1
226,10.32888752,18.90462264,-0.444575293,1
227,17.79602547,-17.86007878,-0.848940509,1
228,-1.680829089,11.38801566,0.219394631,1
229,13.59664669,-19.14505763,-0.089031574,1
230,2.962103613,2.517386373,0.836908567,0
231,-2.972960973,7.248310687,0.506192577,0
232,-3.118959712,11.9853387,-0.706932825,1
233,4.710182674,-6.963478931,0.615101237,1
234,-0.0343842,-7.374444112,1.450711288,1
235,6.032042163,6.265673971,-0.101896569,0
236,-4.327330541,17.03388499,0.250572675,1
237,1.016595116,-0.371776992,0.57573485,0
238,18.81816797,20.21705148,1.116045767,1
239,8.882010238,4.886020897,0.401500326,0
240,-10.40399065,-3.737444278,0.332778138,1
241,1.743617607,-1.268836006,0.892948393,0
242,-3.421296458,4.827930152,-0.058686252,0
243,14.60187938,-6.048684458,-0.8055153,1
244,-13.30957001,-5.663779058,-0.485291472,1
245,2.244514812,-11.52152877,-0.094857872,1
246,3.612315004,-15.49136384,-2.160493113,1
247,-5.920528761,2.361442503,-0.069021727,0
248,-13.30793946,-9.80509745,-0.555988043,1
249,-4.579025274,2.663949727,0.418315089,0
250,1.706815279,-2.115360678,-0.101718684,0
251,-7.484905866,-4.44086289,0.276497876,0
252,-8.428802197,-7.97371599,0.283394113,1
253,-1.406268791,1.369544482,0.314514263,0
254,-5.949121783,3.810028281,-0.187105923,0
255,-0.429046891,-2.161672431,0.954233593,0
256,-5.421880709,7.155836046,0.090462586,0
257,-21.06025714,-4.34979028,-1.555419192,1
258,-16.7943054,-20.9161914,1.303736064,1
259,5.236039035,9.53130338,-0.178990988,1
260,-4.528742404,0.65223969,-0.127753308,0
261,16.88150914,6.231239591,0.475973929,1
262,0.606604133,2.247543936,-0.83769724,0
263,-7.313165072,0.188772337,-0.64838996,0
264,-6.088146089,7.024485355,0.743953035,0
265,-8.445313388,18.61857794,0.360898047,1
266,-18.06459426,-2.757864266,-0.499275373,1
267,1.416010568,0.855142105,-0.571338926,0
268,3.683370838,3.441740745,-0.530871726,0
269,3.955301734,1.316226158,0.306506031,0
270,-16.11988265,-21.23490606,1.669985027,1
271,14.00487448,-14.2027744,0.459986865,1
272,13.8529359,5.464792795,0.645398528,1
273,13.01839303,12.27168397,0.079490498,1
274,14.46831427,-19.65102459,-0.96287412,1
275,15.65411156,6.063018988,-1.489800544,1
276,-2.06313733,12.25462192,-0.218789435,1
277,6.742065165,1.800851544,2.036480853,1
278,3.073394193,4.904911155,0.20333938,0
279,-17.3000764,-6.944982606,-0.463761387,1
280,-0.972385032,-8.05920984,0.740561418,1
281,-10.42481725,-13.82016993,-0.277468113,1
282,-17.51890477,-3.039311433,1.300779345,1
283,-4.853856925,-2.821033024,-0.404376403,0
284,11.55637051,-9.443627701,-2.144230779,1
285,8.554626667,4.596727157,0.029518755,0
286,0.28224408,-3.633494097,0.303770494,0
287,-11.97702394,8.770337418,1.663552413,1
288,1.460492435,-15.94279887,0.789758197,1
289,-4.052158871,3.285729637,-0.670504769,0
290,3.616989998,-4.809734791,-0.92745324,0
291,-8.123658666,12.49494597,1.378352452,1
292,3.277859285,-18.2913173,-0.919637746,1
293,1.112310117,8.701400293,0.479094654,0
294,5.734614258,0.505007072,-0.548554297,0
295,-5.840753013,6.647132727,-1.328645164,1
296,-4.556256133,1.065045669,-0.281870782,0
297,4.766370986,3.769615372,0.176158657,0
298,-5.3063877,-5.058931285,-0.864906083,1
299,-3.850186629,-7.000747228,-1.358245432,1
300,-9.810242321,11.5668093,-0.309486496,1
301,-4.640835279,-6.774828716,0.360046327,0
302,-1.0838525,-7.329595002,0.321007234,0
303,0.742256518,0.693451101,-0.813124199,0
304,3.287708262,-5.19716022,-0.516025813,0
305,6.692773592,-4.353150557,0.417992343,0
306,1.913873135,-3.806755378,0.875187046,0
307,-3.810985539,-17.35377097,-0.341368789,1
308,0.166112657,-1.330427492,-0.759261861,0
309,-5.923130112,-21.8822156,2.002497029,1
310,1.882082899,-3.047000737,-0.047358096,0
311,11.37889481,3.469095358,0.900950199,1
312,-1.35655513,7.688707118,-0.782293075,0
313,11.33857018,-3.779907878,-0.504019532,1
314,8.038225943,-2.70785332,-0.059467603,0
315,4.28716786,3.300565148,0.284640453,0
316,4.189115011,-5.866955451,-0.058042824,0
317,4.083315579,-4.532253561,-0.374974625,0
318,3.15222024,12.20722477,1.889589906,1
319,2.438724955,-5.564590848,0.127934517,0
320,-4.862404657,14.35461649,0.831585778,1
321,-16.88676617,-4.744869455,-0.127256909,1
322,17.66981575,-11.9855421,-0.261820664,1
323,21.52983855,-19.97777698,-1.729814515,1
324,0.322232524,1.112063449,-0.641301704,0
325,-7.568469939,-2.16575226,-0.416624467,0
326,1.65656909,19.84987087,2.00360207,1
327,8.136952874,0.071756225,-0.489855823,0
328,2.534515327,-13.5720221,1.188781382,1
329,0.776721257,-8.800783598,-0.250744765,0
330,-14.00829479,-10.76743164,1.042385001,1
331,-4.597031695,-1.397417383,0.187128731,0
332,-18.23664769,21.08511265,-0.64615502,1
333,0.757131219,2.933166374,0.897708171,0
334,1.687489726,-2.767238554,1.470304147,1
335,3.224134066,4.605849416,-1.052565161,1
336,-2.255766878,8.019079178,-0.232829893,0
337,-7.056374516,5.072847591,-0.570805052,0
338,-2.588680455,-0.794663938,0.583703208,0
339,14.35711947,-19.0311674,0.834710778,1
340,-21.87950853,-19.08939437,0.168007543,1
341,-1.578666137,6.105772217,0.031518855,0
342,-3.23353449,1.660831691,1.370276842,1
343,2.971547134,-8.778092077,-0.130589291,0
344,-7.530633939,6.280072941,0.671849572,1
345,-7.76978352,2.985265479,-0.068275123,0
346,21.58853146,0.719354833,-0.352566587,1
347,-9.535476496,-1.245323412,-0.355008443,1
348,-20.85011908,13.33139373,1.846652887,1
349,13.55621883,-7.197079671,-1.666519539,1
350,2.659379836,0.861789324,0.887365857,0
351,7.47584558,-8.675016705,-0.287670436,1
352,-8.778441252,1.932716105,-0.209126304,0
353,3.797919774,9.725031969,-0.405902676,1
354,5.038053751,7.319370617,-0.257939286,0
355,-2.948065684,-0.931144565,-0.707235713,0
356,-8.502177024,-2.535196627,-0.121626874,0
357,11.28924258,-1.408115431,-2.072753584,1
358,6.532842704,-4.246661769,0.377525812,0
359,-8.110895419,-15.1760259,1.297542108,1
360,-3.594222882,19.02188387,-0.03687247,1
361,-5.174862797,-14.36267969,-1.432625194,1
362,-0.127376137,7.224075119,-0.646365903,0
363,7.874980646,3.582674429,0.144652024,0
364,4.413321643,16.3590024,0.757197937,1
365,4.383768115,0.352827825,-0.259482884,0
366,-8.273289038,1.623758461,0.391842349,0
367,-14.25862591,-12.68260243,1.388056561,1
368,4.733442851,-14.15353602,-0.374808828,1
369,0.002701248,9.963944219,-0.516710811,1
370,-12.61702114,-21.29539656,1.780452029,1
371,6.95172264,-4.071038402,-0.652421231,1
372,-6.465639441,-7.535137828,1.587767203,1
373,-19.21739292,-0.039966245,1.931233726,1
374,4.47858572,5.347120036,0.501872087,0
375,2.312424918,-6.961822383,0.729130871,0
376,18.12501243,-15.34343308,0.477176,1
377,-18.43419717,-7.290372306,-0.523286876,1
378,-8.354513627,3.941306707,-0.006595929,0
379,5.059296204,1.204765241,-0.239926641,0
380,-4.084370214,-4.863941548,-0.871544389,1
381,1.654363865,8.250603429,-1.486873618,1
382,-10.62933984,12.42099988,1.053136751,1
383,-19.52720909,14.43575222,-2.197146001,1
384,-3.677156237,10.07361051,-1.026753415,1
385,14.67018206,-18.25597652,-0.13652861,1
386,0.349374532,2.888378409,-0.489574314,0
387,-15.80914234,-17.22879379,-0.413224557,1
388,3.783137287,7.075370749,-0.436428006,0
389,-0.443100761,-1.436940002,-1.078197323,1
390,5.81088427,6.25507918,-0.040617529,0
391,-5.619543479,-7.748173816,-0.255701661,0
392,-5.463853091,-4.836520478,-0.557809025,0
393,3.982617554,0.687520794,-0.635439714,0
394,19.15753248,20.10245192,1.739595018,1
395,-7.299934604,5.591269031,0.188192735,0
396,-0.588627035,-5.190497335,0.420524133,0
397,-1.629549855,-3.385798495,-0.298324459,0
398,-1.244654681,2.623236321,-0.155111154,0
399,-1.008163835,10.03103245,-0.00169494,1
400,16.45612188,8.077319217,1.948845774,1
401,3.912595979,19.09048656,-0.696808331,1
402,16.55781262,-21.26521968,-1.848180153,1
403,-2.76930704,7.932604855,0.629682471,1
404,2.88702186,-4.259396703,-0.636658399,0
405,-0.722433791,-3.746864147,-1.922171833,1
406,10.42198309,-6.26614332,1.844325991,1
407,16.7156491,-14.29399101,-1.20882268,1
408,2.352320415,5.564450397,-0.757192446,0
409,-3.624030201,7.536570663,-0.84124573,0
410,-7.529541266,-3.732364386,0.076398038,0
411,0.174773669,-10.59069574,0.009587754,1
412,0.65980262,2.23373714,0.866763969,0
413,-7.502753614,-0.30851718,-0.503087208,0
414,-15.45971908,11.25302108,2.182723531,1
415,6.305791757,-9.398799941,0.137050169,1
416,-1.492770956,-7.422194942,-0.735111213,1
417,9.972294665,3.78074672,1.024449928,1
418,0.992435815,8.889961516,-0.1241459,0
419,11.10197654,12.67143356,1.795884719,1
420,14.7350455,17.50789804,-1.937638263,1
421,8.343415916,6.930533521,2.19667147,1
422,20.95115594,0.224903046,1.924665306,1
423,-7.964743612,1.59025268,0.096266395,0
424,-3.492366662,19.08807517,2.022500901,1
425,-13.34452356,-14.89417638,1.134430607,1
426,1.977004218,-1.697444821,-0.383585283,0
427,8.740810659,4.511567952,-0.007539087,0
428,6.05177752,5.147425489,0.542211923,0
429,10.23002349,-3.248740552,-0.316443665,1
430,-5.719638267,-10.49537152,-1.643926279,1
431,6.797205638,9.781715173,-1.264936685,1
432,-17.72999569,-1.335072119,1.921747421,1
433,-0.349732688,-6.358111328,-0.469813511,0
434,-1.150224096,-2.254799337,-0.808807742,0
435,0.972033662,-9.794588235,1.733618254,1
436,-3.869884432,-7.687075424,-1.104685014,1
437,2.213020373,-9.564636053,-0.051939277,0
438,-5.496924865,7.488401887,-0.070171067,0
439,-0.77469099,1.48033697,-0.154146049,0
440,-5.550601304,20.14356666,0.646091336,1
441,-14.82113699,-19.43710267,-0.704832444,1
442,-9.390521078,0.838486472,0.320344437,0
443,9.163809469,-0.640960914,-0.676009496,0
444,-3.811948619,4.033725009,0.800347432,0
445,-3.102414081,6.476737585,1.123755041,1
446,10.31389345,-21.90671634,2.177068871,1
447,-21.75329161,-16.92119707,1.119583942,1
448,-6.845392407,-4.05986125,0.126626314,0
449,-8.317387552,-6.591263143,0.001205422,1
450,-3.256045606,-2.916831474,-0.458601078,0
451,10.2128231,1.94009504,-0.335309501,1
452,7.987338763,-14.02812511,-1.792810311,1
453,-3.81754576,-4.820154559,-0.771750747,0
454,-1.336988519,-7.980276143,0.847296671,1
455,19.81339899,-15.30627833,0.292782274,1
456,10.37036755,-20.17945771,0.06400846,1
457,0.296997331,-9.678727848,-0.065643294,0
458,2.210949808,1.784094393,0.986713816,1
459,-2.102528652,-7.727058788,1.000763809,1
460,-5.878433625,10.044247,-0.081402997,0
461,3.030519008,6.138208093,-0.304206132,0
462,-5.739687892,6.21064678,0.333821628,0
463,5.931798826,-1.542783828,-0.571669467,0
464,-5.772321394,19.73536553,1.779268145,1
465,-3.953823254,7.890280965,0.232439416,0
466,-9.131899311,-11.1854845,-0.968932184,1
467,7.128108234,2.614604727,-0.971878225,1
468,-5.741828111,-3.880768335,0.313597186,0
469,2.042397649,-10.18110964,0.411887569,0
470,-4.231443765,-4.366969426,-0.183373645,0
471,1.847243561,5.321334867,1.71132368,1
472,-12.12340013,19.42340571,-1.404963718,1
473,1.594561678,7.647735998,-0.646693778,1
474,-2.002548396,4.574680247,0.831518921,0
475,0.523042208,-0.071207043,-0.62705832,0
476,7.863260769,-7.383746448,0.068369927,1
477,-6.24019285,-3.150503858,-0.658687449,0
478,1.985619052,0.759327537,-0.785621118,0
479,-2.590059325,-6.722974647,0.511123817,0
480,-8.453542847,21.72186928,-2.187806766,1
481,-7.221058902,2.288214695,0.12544984,0
482,1.381336815,-10.97110445,0.299378815,1
483,5.9126465,15.41350041,0.923888294,1
484,-10.02337558,0.425111098,1.106137173,1
485,1.904081299,-1.226519558,-0.807878249,0
486,-11.62917454,-5.236556962,-1.733631245,1
487,-6.279356121,-4.880231803,0.534820139,0
488,0.69170894,-7.964634123,0.105347751,0
489,6.569370528,-0.829204127,-0.68238365,0
490,1.563914793,-16.62657769,1.916083991,1
491,2.279940917,-2.06926096,1.732984921,1
492,-2.650408281,-2.244261338,0.169155521,0
493,-8.618123339,-2.449893723,-0.463699828,1
494,15.2642622,-13.7880851,-1.634932457,1
495,-19.08083533,16.65799305,-0.297633737,1
496,9.149208057,-2.802922676,-0.242223596,0
497,-2.653771558,-2.679557251,0.859847997,0
498,-17.31065773,9.375203621,0.283738561,1
499,0.311833531,-5.780689398,-0.490562856,0
500,-1.233548044,-2.569867318,0.440292481,0
501,11.72904537,-4.422519444,-0.144233151,1
502,3.683507235,-3.321798114,-1.090388073,0
503,7.128575553,-4.277782999,0.278253936,0
504,-9.090420605,0.494226653,-0.05752628,0
505,19.50624349,10.7798503,0.892105219,1
506,5.371097803,-2.373670484,-0.614333237,0
507,-15.20106491,18.39600201,0.477951141,1
508,7.195219516,4.599811139,0.363959661,0
509,11.89745672,-19.14975281,1.298192998,1
510,4.334481345,7.813538389,-0.229717999,0
511,-2.195074232,2.631024021,-1.562551013,1
512,-3.851745989,3.795380921,-0.49034145,0
513,17.16115134,3.444773672,0.677810814,1
514,2.287456887,6.302111952,-0.902197531,1
515,-6.690267098,0.756704789,-0.316964817,0
516,-14.88710553,19.78783577,1.054546144,1
517,2.801923956,-4.911093476,1.013761447,1
518,3.774088098,-1.895251095,0.780590675,0
519,1.097186994,-5.289370608,-0.658759348,0
520,3.238650724,6.757536918,-0.384001046,0
521,8.942133833,15.41226726,1.422992188,1
522,-8.518053707,12.25192078,-1.972003376,1
523,-9.670544883,-12.4363369,1.847705596,1
524,21.80924498,-15.16745899,0.837424518,1
525,2.827835717,9.823696566,0.16668162,1
526,-3.420462298,-1.085320506,-0.915339639,0
527,-3.18877422,-5.839680194,-0.092580109,0
528,-1.269732579,0.80803012,-0.424447993,0
529,-7.662029822,4.95215148,-0.501525221,1
530,18.48218826,-1.546928166,1.892353895,1
531,5.125444038,-9.014545185,-2.160517078,1
532,5.588731292,-4.900300242,0.595533581,0
533,15.58359179,-21.77705597,-1.764404465,1
534,2.428962487,4.646664966,0.66372487,0
535,-15.07060333,-10.95108829,0.312197783,1
536,-1.225516169,4.054702326,0.845286789,0
537,12.59338768,-7.28737334,-0.971598428,1
538,0.078850758,-7.487078283,-0.23622691,0
539,9.130372121,-1.597642481,-0.56972986,0
540,-10.11677404,-13.1841702,-1.439748259,1
541,-3.616679989,-2.783557247,-0.082167778,0
542,-3.221443129,-0.923822585,-1.951908449,1
543,3.717697425,-8.062876628,-0.164926074,0
544,-4.888530844,-0.906679633,-0.346619369,0
545,-6.602150617,5.352718332,-0.806565283,1
546,18.24540785,5.09188187,0.257620154,1
547,-7.297977579,7.121139661,0.213900531,1
548,3.585038889,0.68877401,0.724240662,0
549,0.639081369,0.50588152,0.829906207,0
550,-2.086066153,8.847775745,-1.4791362,1
551,5.006042404,5.771462557,-0.704119371,0
552,8.972066665,-1.888409582,0.41520144,0
553,6.255551454,-6.65847017,1.549347586,1
554,13.63545669,6.611937831,1.147005951,1
555,7.303182184,5.705368161,-0.106051351,0
556,-3.025379966,-2.631722984,0.108271594,0
557,17.79519186,2.966357894,-2.165116405,1
558,3.935648073,5.266830634,0.600094757,0
559,-1.350582573,-1.77495679,1.070889853,1
560,-2.607181805,-1.865657135,0.231866694,0
561,8.988154162,2.676801225,0.15152419,0
562,-1.361901311,-3.91408379,-2.125079503,1
563,15.07548858,-1.561334003,-1.700810449,1
564,12.77864233,6.746211943,1.377578605,1
565,2.190774617,-0.556427047,-0.619495734,0
566,-16.60583007,-8.21483836,1.912525994,1
567,21.07648909,-3.579085342,1.924556365,1
568,-2.018332167,-5.008065793,0.804134376,0
569,-16.09222513,21.79852968,2.071117929,1
570,2.20079647,-0.64924171,0.197050199,0
571,-1.692530621,6.534724717,-0.132143108,0
572,3.278738502,-3.123053547,0.482858603,0
573,-2.260124821,-6.525482408,-0.679685676,0
574,4.190949931,1.761575546,0.169284693,0
575,5.403290383,3.819773027,0.554208612,0
576,-7.882330771,1.597027716,-0.125128456,0
577,2.521501209,10.22087888,0.293071057,0
578,5.901742252,21.88974567,0.185304679,1
579,10.11177173,-12.91290077,-1.23086872,1
580,2.143982267,1.639982072,0.900250992,0
581,2.645866855,-0.396544157,0.23578794,0
582,-20.26679262,-13.22672779,1.862789056,1
583,-3.156996606,-12.66742963,-1.919628789,1
584,-15.71860921,19.20466583,0.253566095,1
585,-7.455640509,5.587811134,0.697629063,1
586,4.911247332,-4.826587002,-0.119659897,0
587,11.77928878,-3.620668322,-1.320043946,1
588,7.390797756,3.793016645,-0.009688402,0
589,20.80424905,-17.85853008,-1.410271455,1
590,-4.652733502,-6.110940622,-0.115790667,0
591,-5.818849982,-0.479730139,-0.981846715,0
592,1.777528039,-9.202601185,-0.032567569,0
593,0.017693581,7.88121837,0.404512265,0
594,-2.479947319,3.614436928,-0.326495052,0
